בְּגָדִים,בֶּגֶד
אַבֵּית,אָבָה,אָבֵי
הַבְּלִיעָה,בְּלִיעָה
וְקָתָנֵי,תני
כׇּל,כָּל
שֶׁהָיָה,יֵשׁ
פְּסוּלוֹ,פִּסּוּל
בַּקֹּדֶשׁ,קוֹדֶשׁ
אִם,אִם
עָלוּ,עָלָה
לֹא,לֹא
יֵרְדוּ,יָרַד
תְּיוּבְתָּא,תְּיוּבָא
דְּרַבָּה,רַב
תְּיוּבְתָּא,תְּיוּבָא
וְהָא,הָא I
דִּפְלִיגִי,פְּלַג I
בַּהּ,ב,ב ²
רַבָּה,רַב
וְרַב,רבי
יוֹסֵף,יָסַף
פְּשִׁיטָא,פְּשַׁט
לֵיהּ,ל
לְרַבִּי,רַבִּי,רַב II,רַבַסָּא
אֶלְעָזָר,אֶלְעָזָר
דְּאָמַר,אֲמַר
רַבִּי,רַבִּי,רַב II,רַבַסָּא
אֶלְעָזָר,אֶלְעָזָר
עוֹלַת,עוֹלָה,עַוְלָה,עַוְלָה ²
בָּמַת,בָּמָה,מֵת
יָחִיד,יָחִיד
שֶׁהִכְנִיסָהּ,כְּנִיסָה
לִפְנִים,פְּנִים
קְלָטוּהָ,ה,קָלַט,ל,ו,קְלַט,ק,ט
מְחִיצוֹת,מְחִיצָה II
לְכׇל,נְכֵל
דָּבָר,דָּבָר
בָּעֵי,בעי
רַבִּי,רַבִּי,רַב II,רַבַסָּא
אֶלְעָזָר,אֶלְעָזָר
[עוֹלַת,עוֹלָה,עַוְלָה,עַוְלָה ²
בָּמַת,בָּמָה,מֵת
יָחִיד,יָחִיד
שֶׁהִכְנִיסָהּ,כְּנִיסָה
שֶׁנִּפְסְלָה],פָּסַל
עָלוּ,עָלָה
מַהוּ,מָהוּ
שֶׁיֵּרְדוּ,יָרַד
מִדְּקָמִיבַּעְיָא,ב,א ²,ד,א ⁴,א,מ,ק,ב ²,א ⁶,בעי,אִ־,א ³,אפופלסמון,י,ע
לֵיהּ,ל
לַחֲדָא,חֲדֵי
מִכְּלַל,כְּלַל
דְּאִידַּךְ,אִלֵּךְ
פְּשִׁיטָא,פְּשַׁט
לֵיהּ,ל
אִי,אִם
כְּרַבָּה,*כְּרַב I
אִי,אִם
כִּדְרַב,רבי
יוֹסֵף,יָסַף
חֲדָא,חֲדֵי
מִגּוֹ,גֵּו ²,מִגּוֹ,גֵּיוְתָנָא
חֲדָא,חֲדֵי
קָמִיבַּעְיָא,בעי
לֵיהּ,ל
עַד,עַד
כָּאן,כַּאַן
לָא,לָא I
קָאָמַר,אֲמַר
רַבָּה,רַב
הָתָם,הָתָם
אִם,אִם
עָלוּ,עָלָה
יֵרְדוּ,יָרַד
מְחִיצָה,מְחִיצָה II
כְּתִיקְנָהּ,ת,כ,ה,תִּקָּן,ק,י,תַּקֵּן,תִּישַׁע
פָּסְלָה,פָּסַל
שֶׁלֹּא,לֹא
כְּתִיקְנָהּ,תִּקָּן
לֹא,לֹא
פָּסְלָה,פָּסַל
אוֹ,אוֹ I
דִילְמָא,דִּלְמָא  I, II,
אֲפִילּוּ,אֲפִילּוּ
לְרַב,רבי
יוֹסֵף,יָסַף
דְּאָמַר,אֲמַר
אִם,אִם
עָלְתָה,עָלָה
לֹא,לֹא
תֵּרֵד,יָרַד
מְחִיצָה,מְחִיצָה II
כְּתִיקְנָהּ,תִּקָּן
קָלְטָה,קָלַט
שֶׁלֹּא,לֹא
כְּתִיקְנָהּ,תִּקָּן
לָא,לָא I
קָלְטָה,קָלַט
תֵּיקוּ,קוּם ²
אָמַר,אֵמֶר,אִמַּר
רַב,רבי
גִּידֵּל,גָּדַל II
אָמַר,אֵמֶר,אִמַּר
רַב,רבי
זְרִיקַת,זְרִיקָה
פִּיגּוּל,פִּיגּוּל
אֵינוֹ,אֵין
מוֹצִיא,יָצָא
מִידֵי,דַּיָּין ²
מְעִילָה,עִלָּה,מְעִילָה
בְּקׇדְשֵׁי,קָדַשׁ,קֹדֶשׁ
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
וְאֵינוֹ,אֵין
מֵבִיא,בּוֹא
לִידֵי,יַד
מְעִילָה,עִלָּה,מְעִילָה
בְּקָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
קַלִּים,קַל I
יְתֵיב,יתֵב
אַבָּיֵי,אָבֵי
וְקָאָמַר,אֲמַר
לַהּ,ל
לְהָא,הָא I
שְׁמַעְתָּא,שְׁמַע I
אֵיתִיבֵיהּ,תּוּב I
רַב,רבי
פָּפָּא,פַּפָּא II,פַּפָּא
לְאַבָּיֵי,לבי
הַשּׁוֹחֵט,שָׁחַט I,שָׁחַט II
אֶת,אֵת
הַתּוֹדָה,תּוֹדָה II
לִפְנִים,פְּנִים
וְלַחְמָהּ,לֶחֶם
חוּץ,עִיקּוּר,נִיקּוּר
לַחוֹמָה,חוֹמָה,חוּם
לֹא,לֹא
קִדֵּשׁ,קָדשׁ
אֶת,אֵת
הַלֶּחֶם,לֶחֶם
שְׁחָטָהּ,חטי
עַד,עַד
שֶׁלֹּא,לֹא
קָרְמוּ,קָרַם
פָּנֶיהָ,פָּנִים
בַּתַּנּוּר,תַּנּוּר
וַאֲפִילּוּ,א ²,א ⁴,ו,ל,א,א ⁶,אפופלסמון,אִ־,א ³,פ,י,אֲפִילּוּ
קָרְמוּ,קָרַם
כּוּלָּן,כלי
חוּץ,עִיקּוּר,נִיקּוּר
מֵאַחַת,אֶחָד
מֵהֶן,מִן
לֹא,לֹא
קָדַשׁ,קָדֵשׁ,קָדַשׁ,קֹדֶשׁ
הַלֶּחֶם,לֶחֶם
שְׁחָטָהּ,חטי
חוּץ,עִיקּוּר,נִיקּוּר
לִזְמַנָּהּ,זְמַן II,זְמַן I
וְחוּץ,חוּץ I
לִמְקוֹמָהּ,מָקוֹם
קָדַשׁ,קָדֵשׁ,קֹדֶשׁ,קָדַשׁ
הַלֶּחֶם,לֶחֶם
אַלְמָא,אַלְמָא
פִּיגּוּל,פִּיגּוּל
מַיְיתֵי,אלי II
לַהּ,ל
לִידֵי,יַד
מְעִילָה,עִלָּה,מְעִילָה
אִישְׁתִּיק,שְׁתֵק
כִּי,כִּי ²
אֲתָא,אלי II
לְקַמֵּיהּ,קַמֵּי
דְּרַבִּי,רבי
אַבָּא,אַבָּא I,אַבָּא III
אֲמַר,מוֹר ²,מוּר II,מוּר I
לֵיהּ,ל
בִּזְרִיקָה,ב,ר,ה,זְרִיקָה,ב ²,ק,ז,זְרַק,י
