בִּשְׁלָמִים,U01348,U01352
הַפִּיגּוּלִים,Q00045
הַנּוֹתָרוֹת,N00424
וְאֵימוּרֶיהָ
וְכוּ׳
שֶׁבַּתּוֹרָה,V00275
שֶׁנִּשְׁתַּיֵּיר
כְּזַיִת,K00446
מִנְחַת,N00533,M01759,N00532
מַעֲשֵׂר,M02188,P01501
דְּמַאי,D00871
וְהַבִּיכּוּרִים,B00771
הַנּוֹתָרִים,N00424
עֲרִסֹתֵכֶם
אֵלּוּ,A01792,A01791
הַנְּבֵילוֹת,N00097
הַשְּׁקָצִים,U01887
לְעִנְיַן,P00974
טְהוֹרִין,I00100
וּטְמֵאִין,I00529,I00531
גָמָל,C01040
וּמַנִּי,N00235,M01726,N00834,N01113,N01246,N01349,N00894,N01030,N00122,N00058,N00095,N01289,N00203
אֵבֶר,A00203
מִצְטָרְפִי
בְּמִיתָתָהּ,M01326
אֲכִילַת,A01688
שְׁרָצִים,U02017
׳אֲכִילָה׳,K00260,A01688
וְהָתָנֵי,V00742
בַּאֲכִילָה,K00260,A01688
בְּכַעֲדָשָׁה
לִדְרַב
בְּמִיתָתָן,M01326
וּמַתְנִיתִין
הַשְּׁרָצִים,U02017
וּפוּרְתָּא,Q00395,Q00396
הָאֵיבָרִין,A01132,A00200
נְבֵלָה,B00823
מִכַּעֲדָשָׁה
הַשֶּׁרֶץ,U02017
מְטַמְּאִין,I00529,I00531
לוֹקִין,L00683,L00663
בְּמוּבְדָּלִין,B00150
לְשֶׁאֵינָהּ,A01364
תְּשַׁקְּצוּ
לְשִׁיעוּרִין
דַּם,D00867
וְשִׁיעוּרוֹ,U00991,U01641
שָׁוִין,U00338
[וְלֹא],L00006
חָנִין,H01290,H01291
הַטְּמֵאִין,I00529,I00531
שֶׁרֶץ,U02017,U02016
וָשֶׁרֶץ,U02017,U02016
מִשֵּׁם,U01405,U01408,U01491
מִשְּׁנֵי,U01556,U01570
קָטַפְרֵס,S00819,S00816,S00820
שֶׁהֵגִיס,C00445,C00447,C00774
חָרָשׁ,H01727,H01781,H01778,H01782,H01777,H01784
יוֹחַאי,J00176
רוֹמִי,T00389
מִנַּיִן,M01785,A01062
עָרוּךְ,P01375
גְּזֵרָה,C00576
הַשַּׁבָּת,U00196,E00910
וְשֶׁלֹּא,L00003
וְשֶׁיִּבְעֲלוּ,B01053
נִדּוֹת,N00222,N00215
רְאוּבֵן
אִיסְטְרוֹבָּלִי
עִמָּהֶם,P00848
יַעֲנִי,J00490
בַּשַּׁבָּת,U00196
טָבֵית
וּבִטְּלוּהָ,B00515
לִשְׁמוֹנָה,U01434
הֶחֱזִירוּם,H00560
הַגְּזֵרוֹת,C00580,C00581
יְכוֹלִין,J00364
ר׳,T00000
כְּשֶׁהָיוּ,E00230
מְהַלְּכִין,E00564,M00370,E00561
בַּדֶּרֶךְ,D01096
מֵעֲקִימַת,P01179,P01180
הַבֵּן,B00932
תְּמַלְיוֹן,V00690
שִּׁפְחָה,Q00451
יָבֹא,B00007
לְכוֹן,K00298
שַׁקְלוּהָ,U01870
וּקְרָעוּהָ,S02129
רְאִיתִיהָ,T00008
וְהַנּוֹתָר,N00424
שֶׁבִּשְׁנֵיהֶן,U01556
לְטוּמְאַת,I00531
בְּאַב,A00015,A00013
וְשֶׁנִּטְמָא,I00529
שֶׁבִּשְׁנֵיהֶם,U01556
הַגְּוִיָּיה,C00362
פְרָס,Q02020,Q01911,Q01913
כְּבִמְזוֹן,M00734
לְעֵירוּב,P01306
טוּמְאַת,I00531
אוֹכָלִין,A01699
וְכִגְרוֹגֶרֶת,C01292
לְהוֹצָאַת,E00266
וּכְכוֹתֶבֶת,K01339,K00418
בְּיוֹם,J00195
הַכִּפּוּרִים,K00995,K00993,K00994
הַמַּשְׁקִין,U01849
וְכִמְלֹא,M01461,M01463
לוּגְמָא,L00188
לַשֵּׁנִי,U01556,U01570
וְשֵׁנִי,N00235,N00834,N01113,N01246,N01349,N00894,N01030,N00122,U01556,N00058,N00095,N01289,N00203,U01570
הָעׇרְלָה,P01387,P01385
וְכִלְאֵי,K00674,K00670
הַכֶּרֶם,K01229
הַבֶּגֶד,B00074
וְהַשַּׂק,U01823
הַשַּׂק,U01823
וְהָעוֹר,N00971,P00347,P00345,P00346
הָעוֹר,N00971,P00347,P00345,P00346
לִיטָּמֵא,L00446
בְּמוֹשָׁב,M00680
לְמוֹשָׁב,M00680
לַאֲחִיזָה
שֶׁהוּ,U00296
יַנַּאי,J00426
לְנַוְולָה,N00323,N00324,N00325
לְקוֹצְצֵי,S01836
תְאֵנִים,V00027
וְשֶׁאֵין,A01361
קַטְלָא,S00776
בְּצַוָּארָהּ,R00151
בְּכוֹס,K00315,K00314
בְּחָלוּק,H01006,H01113,H01007,H01005
בְּקַרְדּוֹם,S01915
אֲבֹתֵיהֶם
וַיִּזְנוּ,G00569
וּבְשָׁלִיחַ,U01308
חֵטְא,H00579,H00613
וּבַדָּבָר,D00077,D00478,D00078,D00079,D00075
שֶׁפּוֹגֵם,Q00074
וַהֲנָאָתוֹ,E00678,E00652,E00653
הֲנָיָיתוֹ
וַהֲנָיַית
הֲנָאָתוֹ,E00678,E00652,E00653
תִּמְעֹל,M02125
כְּאַחַד,A00994
מַעַל,P00756
לַאֲכִילָתוֹ,A01688
לַחוֹל,H00324,H00955
וְשָׁקַל,S01229
שֶׁהוֹצִיא,J00515
הַמָּשׁוּחַ,M02822
לְסוֹטָה,L00585,O00286
וְלַעֲבוֹדָה,P00025,P00026
לַעֲבוֹדָה,P00025,P00026
דְּנוּן
פְרוּטָה,Q01667
בְּשָׁוֶה,U00338
בְּמוּקְדָּשִׁין,E00789
